"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","order","SMOKE-ORDER-ACCESS-001","0","0","1","0","0"
"","addproduct","SMOKE-PMS-ADDPRODUCT-ACCESS-001","1","1","0","0","0"
"","product","SMOKE-PMS-PRODUCT-ACCESS","0","1","0","0","0"
"","order","SMOKE-ORDER-012029","0","0","1","0","0"
"","returnapply","SMOKE-RETURNAPPLY-160026","0","1","0","0","0"
"","product","TC-PRODUCT-155325","0","0","1","0","0"
"","product","TC-PRODUCT-001","0","0","1","0","0"
"","","","0","2","0","0","0"
"","addproduct","TC-ADDPRODUCT-001","0","0","1","0","0"
"","returnapply","SMOKE-RETURNAPPLY-INTENT-01-SEARCH-SERVICE-NO-3","0","1","0","0","0"
"","returnapply","SMOKE-RETURNAPPLY-QUERY-001","0","0","1","0","0"
"","returnapply","SMOKE-RETURNAPPLY-SEARCH-SERVICE-NO-3","0","1","3","0","0"
"","addproduct","SMOKE-ADDPRODUCT-ACCESSIBILITY","0","0","1","0","0"
"","addproduct","SMOKE-ADDPRODUCT-001","0","0","1","0","0"
"","brand","SMOKE-BRAND-124858","0","0","1","0","0"
"","brand","SMOKE-BRAND-125243","0","0","1","0","0"
"","returnapply","SMOKE-RETURNAPPLY-QUERY-SERVICE-NO-3","0","0","1","0","0"
"","addproduct","SMOKE-ADDPRODUCT-ACCESS","0","0","1","0","0"
"","order","SMOKE-OMS-ORDER-CORE-PAGE-ACCESS","0","1","0","0","0"
"","order","SMOKE-ORDER-PAGE-ACCESS","0","0","1","0","0"
"","product","SMOKE-PRODUCT-ACCESS-001","0","0","1","0","0"
"","returnapply","TC_RETURN_015","0","0","1","0","0"
"","returnapply","TC_RETURN_001","0","1","0","0","0"
"","product","TC-PRODUCT-080724","0","1","0","0","0"
"","returnapply","SMOKE-RETURNAPPLY-SEARCH-3","0","0","1","0","0"
"","product","SMOKE-PRODUCT-PAGE-ACCESS","0","0","1","0","0"
"","addproduct","SMOKE-PMS-ADDPRODUCT-001","1","0","0","0","0"
"","returnapply","TC_RETURN_014","0","0","1","0","0"
"","product","SMOKE-PMS-PRODUCT-ACCESS-001","1","0","0","0","0"
"","order","SMOKE-OMS-ORDER-PAGE-ACCESS","1","0","0","0","0"
"","order","SMOKE-ORDER-001","0","0","1","0","0"
