"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 19 23:33:55 CST 2026","Thu Mar 19 23:33:56 CST 2026","676","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-ret-query-sm-ai-0010]",""
"failed","Thu Mar 19 22:34:55 CST 2026","Thu Mar 19 22:35:05 CST 2026","10391","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-addprod-subm-sm-ai-0005]",""
"broken","Sun Mar 29 00:03:19 CST 2026","Sun Mar 29 00:03:53 CST 2026","34390","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-ret-query-sm-ai-0003]",""
"passed","Sun Mar 22 20:52:45 CST 2026","Sun Mar 22 20:52:45 CST 2026","586","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-brand-list-sm-ai-0002]",""
"passed","Thu Mar 19 21:43:30 CST 2026","Thu Mar 19 21:43:30 CST 2026","41","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-prod-list-sm-imp-0001]",""
"passed","Mon Mar 30 18:19:44 CST 2026","Mon Mar 30 18:19:47 CST 2026","2713","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-ret-query-sm-ai-0001]",""
"broken","Thu Mar 26 22:11:13 CST 2026","Thu Mar 26 22:11:52 CST 2026","39258","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-ret-query-sm-ai-0012]",""
"broken","Thu Mar 26 16:13:28 CST 2026","Thu Mar 26 16:13:28 CST 2026","0","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-flash-list-sm-ai-0001]",""
"broken","Thu Mar 26 22:11:54 CST 2026","Thu Mar 26 22:11:54 CST 2026","0","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-prod-list-sm-ai-0015]",""
"passed","Thu Mar 19 23:24:07 CST 2026","Thu Mar 19 23:24:07 CST 2026","641","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-ret-query-sm-ai-0006]",""
"broken","Thu Mar 26 16:13:04 CST 2026","Thu Mar 26 16:13:04 CST 2026","0","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-ret-query-sm-ai-0008]",""
"failed","Thu Mar 19 22:44:50 CST 2026","Thu Mar 19 22:45:00 CST 2026","10486","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-addprod-subm-sm-ai-0004]",""
"passed","Thu Mar 19 22:50:07 CST 2026","Thu Mar 19 22:50:07 CST 2026","498","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-prod-list-sm-ai-0008]",""
"broken","Thu Mar 19 22:36:58 CST 2026","Thu Mar 19 22:36:59 CST 2026","480","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-prod-list-sm-ai-0004]",""
"broken","Thu Mar 19 22:37:31 CST 2026","Thu Mar 19 22:37:31 CST 2026","455","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-addprod-subm-sm-ai-0005]",""
"passed","Thu Mar 19 23:03:39 CST 2026","Thu Mar 19 23:03:40 CST 2026","479","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-ret-query-sm-ai-0009]",""
"broken","Thu Mar 26 16:46:06 CST 2026","Thu Mar 26 16:46:16 CST 2026","10314","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-ret-query-sm-ai-0004]",""
"passed","Thu Mar 19 22:56:27 CST 2026","Thu Mar 19 22:56:28 CST 2026","473","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-addprod-subm-sm-ai-0002]",""
"passed","Thu Mar 19 22:50:39 CST 2026","Thu Mar 19 22:50:39 CST 2026","526","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-addprod-subm-sm-ai-0001]",""
"passed","Thu Mar 19 22:56:09 CST 2026","Thu Mar 19 22:56:10 CST 2026","561","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-prod-list-sm-ai-0013]",""
"passed","Sat Mar 28 23:55:24 CST 2026","Sat Mar 28 23:55:29 CST 2026","4137","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-prod-list-sm-ai-0018]",""
"passed","Thu Mar 19 22:51:15 CST 2026","Thu Mar 19 22:51:15 CST 2026","588","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-ord-list-sm-ai-0003]",""
"passed","Thu Mar 19 23:22:24 CST 2026","Thu Mar 19 23:22:24 CST 2026","651","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-ret-query-sm-ai-0007]",""
"passed","Thu Mar 19 22:54:00 CST 2026","Thu Mar 19 22:54:01 CST 2026","796","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-ord-list-sm-ai-0011]",""
"failed","Thu Mar 19 22:34:18 CST 2026","Thu Mar 19 22:34:29 CST 2026","10484","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-prod-list-sm-ai-0003]",""
"passed","Sat Mar 28 23:43:18 CST 2026","Sat Mar 28 23:43:23 CST 2026","4592","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-ret-query-ex-ai-0003]",""
"passed","Thu Mar 19 23:35:46 CST 2026","Thu Mar 19 23:35:47 CST 2026","652","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-ret-query-sm-ai-0010]",""
"failed","Thu Mar 19 22:37:59 CST 2026","Thu Mar 19 22:38:09 CST 2026","10419","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-ord-list-sm-ai-0002]",""
"passed","Thu Mar 19 22:56:45 CST 2026","Thu Mar 19 22:56:46 CST 2026","646","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-ord-list-sm-ai-0007]",""
"passed","Sun Mar 22 20:49:00 CST 2026","Sun Mar 22 20:49:01 CST 2026","648","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-brand-list-sm-ai-0001]",""
"passed","Thu Mar 19 21:05:13 CST 2026","Thu Mar 19 21:05:13 CST 2026","36","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-addprod-subm-sm-ai-0006]",""
"passed","Thu Mar 19 23:37:49 CST 2026","Thu Mar 19 23:37:50 CST 2026","706","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-ret-query-sm-ai-0010]",""
"passed","Thu Mar 19 23:38:58 CST 2026","Thu Mar 19 23:38:59 CST 2026","707","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-ret-query-sm-ai-0010]",""
"broken","Thu Mar 19 22:45:26 CST 2026","Thu Mar 19 22:45:56 CST 2026","30408","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-ord-list-sm-ai-0001]",""
"passed","Sat Mar 28 23:44:36 CST 2026","Sat Mar 28 23:44:43 CST 2026","6947","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-ret-query-ex-ai-0002]",""
"passed","Thu Mar 19 22:53:32 CST 2026","Thu Mar 19 22:53:33 CST 2026","772","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-addprod-subm-sm-ai-0003]",""
"passed","Fri Mar 20 09:20:30 CST 2026","Fri Mar 20 09:20:31 CST 2026","688","tests","test_yaml_ai_generated","","","","test_yaml_ai_generated[atp-web-ord-list-sm-ai-0004]",""
